GEOID,income,ba_rate,pop,pop_density
06037127803,68191.66666666667,0.37363330515906595,5025.333333333333,7841.852166834416
06037127804,67984.0,0.35497280293443234,4554.0,7136.443343315579
06037127805,60728.333333333336,0.23120302344973773,3439.6666666666665,5597.413657494047
06037127806,77564.0,0.24104127906167758,3667.3333333333335,5368.183097883711
06037127910,62916.666666666664,0.13912746870427461,5027.666666666667,7737.443006701715
06037127920,71637.33333333333,0.2787156756327542,4399.0,6781.108469988315
06037128101,86312.0,0.3481516307737036,2932.0,4518.443633494428
06037128102,56970.333333333336,0.1345978880744154,4835.333333333333,7452.629870013106
06037128210,50288.666666666664,0.16237141514482725,5019.333333333333,9126.84053607005
06037128220,62059.666666666664,0.3035950974760654,3017.3333333333335,5430.833961790975
06037128302,59892.0,0.18670978544114716,4502.666666666667,6536.298765177612
06037128303,43521.333333333336,0.18817845899987082,3457.3333333333335,8352.176461872461
06037128400,124045.33333333333,0.5418519443011122,4266.666666666667,2483.317152970009
06037128500,110776.0,0.5594396707631583,4282.0,4397.242943051494
06037128601,67942.33333333333,0.26971197335174496,4968.0,7285.771480780259
06037128602,94866.66666666667,0.665255557256093,2758.3333333333335,2431.6486342656467
06037128703,85796.33333333333,0.5065805822171603,3419.0,4224.43500189661
06037128704,137121.0,0.621692492456714,2409.0,2892.0921867890575
06037128801,85825.66666666667,0.7213789022902759,3810.3333333333335,7742.660017908838
06037128802,98324.66666666667,0.49466385009135744,4320.0,4448.247421406573
06037128910,108093.0,0.601027688908086,4588.0,3534.6088124854587
06037131021,60354.333333333336,0.16791923357146357,3287.3333333333335,5889.927280719357
06037131022,57974.666666666664,0.24812703312866957,2889.3333333333335,5795.229432384422
06037131023,81062.0,0.2477077049087725,2681.3333333333335,4591.025469803906
06037131024,95736.66666666667,0.31944229350719205,3852.3333333333335,4559.508549916894
06037131100,105356.33333333333,0.3865450075096741,3136.0,2846.1792584686536
06037131200,122184.33333333333,0.3707678176568183,3687.3333333333335,3267.6929384807036
06037131300,95411.33333333333,0.20871006887402266,4495.333333333333,4020.8310413165277
06037131400,96962.0,0.3350162544424482,6000.666666666667,5419.961185346294
06037131600,87423.33333333333,0.25540365026894957,5141.666666666667,2353.7666217123947
06037131701,80527.33333333333,0.3441207700990559,5023.333333333333,7614.953201135319
06037131702,74978.0,0.3722263074830732,3657.0,5105.089175033225
06037131801,57949.0,0.1813166572175864,3024.6666666666665,4608.496210205122
06037131802,98391.33333333333,0.36948988424025125,2360.6666666666665,3580.744473281184
06037131900,132866.33333333334,0.3372129894910601,4084.0,3098.124208684913
06037132001,111406.0,0.4806176646489953,2792.3333333333335,2882.71807588462
06037132002,104080.66666666667,0.26078464149589803,3597.6666666666665,2248.238154515807
06037132101,68333.0,0.31845571351485286,4240.666666666667,5232.012745679847
06037132102,74443.33333333333,0.3573994788387352,5138.333333333333,3746.5226485375315
06037132301,57060.666666666664,0.27843093788451106,3636.3333333333335,5762.8103539355525
06037132302,90370.66666666667,0.2932617550139616,3086.0,4765.279855960692
06037132501,84044.0,0.24439223186451528,4783.666666666667,6828.96096152684
06037132502,64643.333333333336,0.3479278869149895,3486.0,5673.42182525991
06037132700,85059.66666666667,0.2894064193596079,4972.666666666667,3793.3949969803884
06037132900,108628.0,0.421596149524158,3820.6666666666665,3224.6511668471426
06037133000,95113.66666666667,0.30550841356836517,4149.333333333333,4161.034161395177
06037133101,107318.0,0.4262371372526356,1751.3333333333333,2653.627828444526
06037133102,53651.333333333336,0.3246868621479176,3752.6666666666665,4407.932242039254
06037134001,87979.66666666667,0.18889165508856684,3622.0,6230.690364620963
06037134002,74224.66666666667,0.25135807394122156,3947.3333333333335,5328.466529247846
06037134101,87924.66666666667,0.23350687571073717,4863.0,4562.833967451222
06037134103,80807.33333333333,0.2840422110686435,4296.0,4127.130213071743
06037134104,74451.0,0.33931658796803754,4238.333333333333,6540.849832067603
06037134201,104134.0,0.3036715774724084,4185.333333333333,2867.8236174273957
06037134302,126197.33333333333,0.3605717075237666,4290.0,3300.9369582596905
06037134303,102788.0,0.34744762166034865,5483.333333333333,3490.943600994271
06037134304,78061.33333333333,0.40982368075751957,2934.3333333333335,2875.5513133851146
